CÓDIGO,CUENTA,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
+149940+741431+741435+741440,PROVISIONES CARTERA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,0.0,1349.0403,415.74738,0.0,1764.78768,0.0,0.0,0.0,0.0,341.08707,12.7483,0.0,0.0,0.0,353.83537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.62305,12.7483,341.08707,0.0,1764.78768
-149955,(CARTERA DE CRÉDITO EDUCATIVO),76.4735,3770.94627,722.52606,19.17526,4589.12109,0.0,68.97739,0.0,0.0,0.0,0.0,4.11507,20.55823,0.0,93.65069,1.63449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63449,4684.40627,0.0,0.0,0.0,4684.40627
741419,PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE CRÉDITO EDUCATIVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741432,PROVISIÓN CARTERA REFINANCIADA EDUCATIVO,0.0,3.13377,0.02813,0.0,3.1619,0.0,2.572,0.0,0.0,0.0,0.0,0.24594,17.62071,0.0,20.43865,0.01081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01081,23.61136,0.0,0.0,0.0,23.61136
741436,PROVISIÓN CARTERA REESTRUCTURADA EDUCATIVO,0.0,393.4618,61.5054,0.0,454.9672,0.0,0.139,0.0,0.0,0.0,0.0,0.0,1.8442,0.0,1.9832,0.81751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81751,457.76791,0.0,0.0,0.0,457.76791
741441,PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE CRÉDITO EDUCATIVO,80.0,0.0,1479.2,0.0,1559.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.00263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00263,1601.20263,0.0,0.0,0.0,1601.20263
+149960+741433+741437+741442,PROVISIONES CARTERA EDUCATIVO,156.4735,4167.54184,2263.25959,19.17526,6606.45019,0.0,71.68839,0.0,0.0,0.0,0.0,4.36101,82.02314,0.0,158.07254,2.46281,0.0,0.00263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46544,6766.98817,0.0,0.0,0.0,6766.98817
-149960,(CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741433,PROVISIÓN CARTERA REFINANCIADA DE INVERSIÓN PÚBLICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741437,PROVISIÓN CARTERA REESTRUCTURADA DE INVERSIÓN PÚBLICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741442,PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE INVERSIÓN PÚBLICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+149960+741433+741437+741442,PROVISIONES CARTERA INVERSIÓN PÚBLICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149945 + 741428,PROVISIONES CARTERA REFINANCIADA,15888.27021,10612.04085,9286.70348,20683.74745,56470.76199,5614.62411,442.4985,0.0,5012.16037,4942.01252,5301.6997,5038.26695,5655.56578,1726.40375,33733.23168,3251.5912,1610.2113,87.45134,538.26293,0.089,22.38517,87.58267,1057.70389,3665.78211,304.31981,10625.37942,100829.37309,5301.6997,10492.43582,1362.0237,83673.21387
1433+1434+1435+1436+1440+1457+1458+1459+1460+1464+1481+1482+1487+1488+1492+1493, CARTERA REFINANCIADA IMPRODUCTIVA,24914.85029,8910.85818,12976.17031,22601.19282,69403.0716,5549.85888,1196.09542,0.0,8637.20993,4966.40579,2974.01937,4243.77402,4774.96894,2522.0966,34864.42895,4016.87925,1469.02972,216.85628,602.6691,0.089,22.8257,61.0282,1438.76382,3977.29279,357.97402,12163.40788,116430.90843,2974.01937,14206.28482,1796.73784,97453.8664
-149950+741429,PROVISIONES CARTERA REESTRUCTURADA,22965.21153,69634.68048,207058.36099,85277.37837,384935.63137,9217.30089,7438.33967,0.0,58254.29189,3754.60269,21726.58044,6589.84,8468.25052,1534.49149,116983.69759,6677.48083,1956.29914,22.34991,258.70134,0.0,18.82647,53.21378,573.08319,1486.44822,94.54854,11140.95142,513060.28038,21726.58044,62267.59592,667.63173,428398.47229
 1441+1442+1443+1444+1448+1465+1466+1467+1468+1472+1483+1484+1489+1490+1495+1496,CARTERA REESTRUCTURADA IMPRODUCTIVA,20136.11678,44639.21731,207314.78622,53980.23206,326070.35237,8810.49799,5012.08547,0.0,68033.1032,1182.23135,9401.96032,2671.55328,5287.41504,919.19982,101318.04647,8170.34564,1170.86363,32.79927,219.15209,0.0,33.62167,88.57415,332.86259,1013.57735,67.38178,11129.17817,438517.57701,9401.96032,69434.48664,400.24437,359280.88568
