NOMBRE DEL INDICADOR,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
RENDIMIENTO CARTERA DE CRÉDITO INVERSIÓN PÚBLICA POR VENCER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENDIMIENTO CARTERAS DE CRÉDITOS  REFINANCIADAS,0.1026809915,0.1037417325,0.1134312629,0.1943029359,0.1257650381,0.1529621896,0.1166554561,0.0,0.0003874103,0.1197407012,0.1040401612,0.1456408845,0.1144000213,0.126019302,0.1167007241,0.1253533523,0.1164719951,0.0971123192,0.1273286392,0.0,0.0781681479,0.1962207617,0.1173769531,0.1452866088,0.2099436903,0.1289136137,0.1230950233,0.1040401612,0.0661132397,0.1362744425,0.1295155508
RENDIMIENTO CARTERAS DE CRÉDITOS  REESTRUCTURADAS,0.2672935028,0.1339395555,0.1352849935,0.1215730091,0.1369294941,0.1531773897,0.1305284335,0.0,2.2204e-06,0.1285808469,0.1016315632,0.1338976255,0.1208621688,0.1269124132,0.0534547941,0.130131434,0.1194493073,0.1519511304,0.1919054799,0.0,0.1429932847,0.1449471128,0.1128734936,0.1755851495,0.2256151339,0.13008701,0.1190445576,0.1016315632,0.0090068316,0.127007064,0.1366227143
RENDIMIENTO CARTERA POR VENCER TOTAL,0.1197120963,0.1224977095,0.1296535597,0.109836498,0.1226579081,0.1367535987,0.1035187073,0.0783521453,0.1134734072,0.1380409737,0.0980257237,0.1474908532,0.1225740572,0.1877279595,0.1151333897,0.1202799527,0.1228361081,0.1311331855,0.1483581796,0.0837820873,0.1464957645,0.1164651068,0.1622027364,0.1523414399,0.213798142,0.1364504697,0.1206119761,0.0965200924,0.1201994991,0.2016892937,0.1229557624
FONDOS DISPONIBLES / TOTAL DEPOSITOS A CORTO PLAZO,0.157591336,0.1924663896,0.1641017053,0.1354210625,0.1626819844,0.2339694749,0.211056172,0.2468740669,0.2897627562,0.2995477498,0.2077076326,0.3711729217,0.3013169553,0.3610100416,0.2407031537,0.2461254591,0.2430437019,0.2143294966,0.1706241809,0.3726106688,0.1893766031,0.4228963239,0.2343404531,0.3597337804,0.4753397479,0.2816519272,0.1888636199,0.2133428407,0.2931298512,0.3211265054,0.1811237028
CARTERA IMPRODUCTIVA DESCUBIERTA / (PATRIMONIO + RESULTADOS) (7),-0.0759511972,-0.2252620924,-0.4519895399,-0.1891046719,-0.294345597,-0.0349975217,-0.0840381296,-0.1429402961,-0.0765508884,-0.4190815658,-0.1684308624,-0.4758623549,-0.1342838242,-0.1539506138,-0.133993573,-4.25329e-05,-0.0891779606,0.1124717285,0.0411031316,-0.0700885981,-0.1848048041,-0.0287249034,-0.0185890234,-0.0257041005,-0.0909818651,-0.0373759687,-0.2313209439,-0.164165895,-0.1361674445,-0.0668421349,-0.2508893904
CARTERA IMPRODUCTIVA / PATRIMONIO (DIC),0.2138379583,0.1822691527,0.2854348729,0.2730295302,0.2488232066,0.2112998143,0.1237318518,1.08e-08,0.2917077265,0.2557898562,0.1280160474,0.2888880113,0.2320466397,0.2536399093,0.1924894091,0.3558852267,0.1959095718,0.1691200896,0.2749054511,0.0004448125,0.0674428536,0.0343243502,0.3517501776,0.4764552529,0.3656069555,0.2565982111,0.2297038608,0.1081796119,0.2851428762,0.3605855505,0.2350791141
FK = (PATRIMONIO + RESULTADOS - INGRESOS EXTRAORDINARIOS) / ACTIVOS TOTALES,0.091799195,0.1019399996,0.0970058721,0.0763419738,0.0932774922,0.0819642375,0.0989067075,0.1322530406,0.1727117986,0.0900962735,0.0949139374,0.0875349573,0.0735169603,0.1835818023,0.1074260806,0.0645076358,0.0896520982,0.1380821138,0.2791307585,0.1520056688,0.140342217,0.2727963106,0.0734075278,0.0996810157,0.1440206653,0.1036321337,0.0980507056,0.0992948037,0.1491058884,0.1137358461,0.0940286227
FI = 1 + (ACTIVOS IMPRODUCTIVOS / ACTIVOS TOTALES)S,1.089693287,1.1199285162,1.067251912,1.0743803407,1.0830094097,1.176375858,1.0936186749,1.1251936678,1.1003976157,1.0804933042,1.1055791421,1.1296157861,1.112720734,1.0888155728,1.1118083695,1.1133987023,1.1598511081,1.2086367637,1.144835618,1.0692447994,1.2178321353,1.1182532449,1.1349110278,1.0931000537,1.0381775627,1.1197785724,1.0932075845,1.1078804457,1.0948785738,1.079664963,1.091619578
INDICE DE CAPITALIZACION NETO: FK / FI,0.08424315,0.0910236664,0.090893135,0.0710567486,0.0861280533,0.0696752122,0.0904398487,0.1175380242,0.156953992,0.0833843885,0.0858499711,0.0774909118,0.0660695519,0.1686068852,0.0966228386,0.0579375885,0.0772962129,0.1142461639,0.2438173255,0.1421617097,0.1152393774,0.2439485974,0.0646813063,0.0911911177,0.1387245019,0.0925469876,0.0896908391,0.0896259196,0.1361848628,0.1053436483,0.086136805
